"name","latitude","longitude","geometry"
"Loyang Point",1.36700932473154,103.964632546118,c(103.964632546118, 1.36700932473154)
"Punggol Plaza",1.39424310307577,103.913051697387,c(103.913051697387, 1.39424310307577)
"Paya Lebar Square",1.3188126597392,103.892600719394,c(103.892600719394, 1.3188126597392)
"CityLink Mall",1.29227185998487,103.854494405175,c(103.854494405175, 1.29227185998487)
"Esplanade Xchange",1.29284648136349,103.855204002525,c(103.855204002525, 1.29284648136349)
"Marina Bay Link Mall",1.28079902188128,103.85365775164,c(103.85365775164, 1.28079902188128)
"Yew Tee Point",1.39702920333054,103.746603148381,c(103.746603148381, 1.39702920333054)
"ION Orchard",1.30398122689058,103.832012283983,c(103.832012283983, 1.30398122689058)
"Greenridge Shopping Centre",1.3853069937746,103.766232401321,c(103.766232401321, 1.3853069937746)
"Seletar Mall",1.39145005688012,103.87609173323,c(103.87609173323, 1.39145005688012)
"Yew Tee Square",1.3982674719393,103.746991830555,c(103.746991830555, 1.3982674719393)
"Limbang Shopping Centre",1.39203962250039,103.743257590141,c(103.743257590141, 1.39203962250039)
"Fajar Shopping Centre",1.38387045023205,103.770903705487,c(103.770903705487, 1.38387045023205)
"Junction 10",1.38033506807627,103.760182644469,c(103.760182644469, 1.38033506807627)
"Jurong Point",1.3395017742403,103.705795621207,c(103.705795621207, 1.3395017742403)
"Bugis Junction",1.29887749406011,103.855162365579,c(103.855162365579, 1.29887749406011)
"Royal Square at Novena",1.32057476054855,103.843222613924,c(103.843222613924, 1.32057476054855)
"Orchard Shopping Centre",1.30148728331083,103.837877532153,c(103.837877532153, 1.30148728331083)
"Zhongshan Mall",1.32702012452796,103.846513974801,c(103.846513974801, 1.32702012452796)
"Kallang Wave Mall",1.30335545364931,103.873055408589,c(103.873055408589, 1.30335545364931)
"Orchard Gateway @ Emerald",1.30163552273994,103.838861554156,c(103.838861554156, 1.30163552273994)
"Waterway Point",1.40649294117342,103.902110598384,c(103.902110598384, 1.40649294117342)
"Marina Square",1.29124508444933,103.857497737426,c(103.857497737426, 1.29124508444933)
"myVillage",1.36511638621891,103.865146761311,c(103.865146761311, 1.36511638621891)
"Kang Kar Mall",1.37171849936663,103.894228949326,c(103.894228949326, 1.37171849936663)
"Jalan Besar Plaza",1.30863222976857,103.858033522037,c(103.858033522037, 1.30863222976857)
"Balestier Plaza",1.32572882729111,103.850381934567,c(103.850381934567, 1.32572882729111)
"Kinex",1.31459950761977,103.894719614178,c(103.894719614178, 1.31459950761977)
"Roxy Square",1.30426027720529,103.904126060189,c(103.904126060189, 1.30426027720529)
"Hillion Mall",1.37850204565072,103.763260112515,c(103.763260112515, 1.37850204565072)
"Fairprice Hub",1.3260793700914,103.678423932532,c(103.678423932532, 1.3260793700914)
"HillV2 Mall",1.36342978294263,103.76433815149,c(103.76433815149, 1.36342978294263)
"South Beach Quarter",1.29573567210526,103.856155455522,c(103.856155455522, 1.29573567210526)
"South Beach Avenue",1.29465617231534,103.855997559304,c(103.855997559304, 1.29465617231534)
"Guoco Tower",1.2770201074676,103.845472676548,c(103.845472676548, 1.2770201074676)
"Suntec City",1.29494072499617,103.860196340537,c(103.860196340537, 1.29494072499617)
"Suntec City",1.29577669466047,103.859487849284,c(103.859487849284, 1.29577669466047)
"Grandlink Square",1.31429264370153,103.891545838287,c(103.891545838287, 1.31429264370153)
"Buangkok Square Mall",1.38431358915486,103.881598272004,c(103.881598272004, 1.38431358915486)
"Northshore Plaza II",1.41795833511012,103.901320652454,c(103.901320652454, 1.41795833511012)
"Marina One",1.27726167384154,103.852960028416,c(103.852960028416, 1.27726167384154)
"Duo Residences",1.29987148676209,103.858650036396,c(103.858650036396, 1.29987148676209)
"Bukit Panjang Plaza",1.37863205369464,103.76210837015,c(103.76210837015, 1.37863205369464)
"Scotts Square",1.30583384488185,103.832933345863,c(103.832933345863, 1.30583384488185)
"Funan",1.29141718564032,103.84993550271,c(103.84993550271, 1.29141718564032)
"Clementi 321",1.31198462763803,103.765019035709,c(103.765019035709, 1.31198462763803)
"Wisteria Mall",1.41821048247167,103.841264183191,c(103.841264183191, 1.41821048247167)
"18 Tai Seng",1.33630951931714,103.888818983704,c(103.888818983704, 1.33630951931714)
"Wheelock Place",1.30466202997267,103.830641910414,c(103.830641910414, 1.30466202997267)
"Junction Nine",1.43311327408246,103.841674725,c(103.841674725, 1.43311327408246)
"SingPost Centre",1.31898176451784,103.894811592237,c(103.894811592237, 1.31898176451784)
"Aperia Mall",1.31030697611739,103.864014970868,c(103.864014970868, 1.31030697611739)
"MacPherson Mall",1.33179389650809,103.879332065048,c(103.879332065048, 1.33179389650809)
"Suntec City",1.29601149940261,103.85870450842,c(103.85870450842, 1.29601149940261)
"Marsiling Mall Hawker Centre",1.43355176142512,103.779881943821,c(103.779881943821, 1.43355176142512)
"Downtown Gallery",1.27690362345948,103.848366600273,c(103.848366600273, 1.27690362345948)
"Liat Towers",1.3050873688315,103.830718729092,c(103.830718729092, 1.3050873688315)
"Plaza Singapura",1.30032443355848,103.845236510712,c(103.845236510712, 1.30032443355848)
"The Oasis",1.28771529880351,103.790380180676,c(103.790380180676, 1.28771529880351)
"Jewel Changi Basement",1.36026863890765,103.989766308641,c(103.989766308641, 1.36026863890765)
"Katong Square",1.30472484830366,103.904730783117,c(103.904730783117, 1.30472484830366)
"The Flow Mall",1.30455527036002,103.904265981581,c(103.904265981581, 1.30455527036002)
"Le Quest Mall",1.35595171528434,103.741127442113,c(103.741127442113, 1.35595171528434)
"Junction 8",1.35059174845285,103.848692410234,c(103.848692410234, 1.35059174845285)
"Design Orchard",1.30206548456982,103.837924041218,c(103.837924041218, 1.30206548456982)
"Bedok Mall",1.32471529561469,103.92930906981,c(103.92930906981, 1.32471529561469)
"Clarke Quay Central",1.28907104916207,103.846677868194,c(103.846677868194, 1.28907104916207)
"Northpoint City",1.42816455935161,103.836106250069,c(103.836106250069, 1.42816455935161)
"Canberra Plaza",1.44322358501256,103.830536385819,c(103.830536385819, 1.44322358501256)
"Knightsbridge",1.30310714635086,103.836360963388,c(103.836360963388, 1.30310714635086)
"Mandarin Gallery",1.30200981064393,103.836524256872,c(103.836524256872, 1.30200981064393)
"Bencoolen",1.29842782668431,103.849977555876,c(103.849977555876, 1.29842782668431)
"Jewel Changi Airport",1.36021899738086,103.989747366618,c(103.989747366618, 1.36021899738086)
"Millenia Walk",1.29259396369094,103.859613056697,c(103.859613056697, 1.29259396369094)
"Quayside Isle",1.2470804571096,103.842195054686,c(103.842195054686, 1.2470804571096)
"Quayside Isle",1.2479785962853,103.841694981127,c(103.841694981127, 1.2479785962853)
"Alexandra Retail Centre",1.27383063212649,103.801465360721,c(103.801465360721, 1.27383063212649)
"Changi City Point",1.33408653336034,103.96298396318,c(103.96298396318, 1.33408653336034)
"Liv@Changi",1.35864391109086,103.969453467037,c(103.969453467037, 1.35864391109086)
"Plantation Plaza",1.35753121159842,103.734141077209,c(103.734141077209, 1.35753121159842)
"Trio",1.30908194730626,103.856933842134,c(103.856933842134, 1.30908194730626)
"The Woodleigh Mall",1.33870827999191,103.871692977977,c(103.871692977977, 1.33870827999191)
"The Concourse",1.30087443112437,103.861884603463,c(103.861884603463, 1.30087443112437)
"STELLAR@TE2",1.43504943488997,103.788179462432,c(103.788179462432, 1.43504943488997)
"Sengkang Grand Mall",1.38315367076604,103.892328799937,c(103.892328799937, 1.38315367076604)
"Pasir Ris Mall",1.373910788602,103.948724404408,c(103.948724404408, 1.373910788602)
"Eastlink Mall",1.35436488129315,103.944299526567,c(103.944299526567, 1.35436488129315)
"Dairy Farm Mall",1.36597363129257,103.775047916203,c(103.775047916203, 1.36597363129257)
"Balmoral Plaza",1.31649229371793,103.835456217024,c(103.835456217024, 1.31649229371793)
"One Holland Village",1.31113790101388,103.794142063871,c(103.794142063871, 1.31113790101388)
"Big Block",1.29251925047034,103.838929702126,c(103.838929702126, 1.29251925047034)
